,Index,Sales
Qarter,,
1986-01-01,0,1734.827
1986-04-01,1,2244.960999
1986-07-01,2,2533.804993
1986-10-01,3,2154.962997
1987-01-01,4,1547.818996
1987-04-01,5,2104.411995
1987-07-01,6,2014.362999
1987-10-01,7,1991.746998
1988-01-01,8,1869.049999
1988-04-01,9,2313.631996
1988-07-01,10,2128.32
1988-10-01,11,2026.828999
1989-01-01,12,1910.603996
1989-04-01,13,2331.164993
1989-07-01,14,2206.549995
1989-10-01,15,2173.967995
1990-01-01,16,2148.278
1990-04-01,17,2739.307999
1990-07-01,18,2792.753998
1990-10-01,19,2556.009995
1991-01-01,20,2480.973999
1991-04-01,21,3039.522995
1991-07-01,22,3172.115997
1991-10-01,23,2879.000999
1992-01-01,24,2772
1992-04-01,25,3550
1992-07-01,26,3508
1992-10-01,27,3243.859993
1993-01-01,28,3056
1993-04-01,29,3899
1993-07-01,30,3629
1993-10-01,31,3373
1994-01-01,32,3352
1994-04-01,33,4342
1994-07-01,34,4461
1994-10-01,35,4017
1995-01-01,36,3854
1995-04-01,37,4936
1995-07-01,38,4895
1995-10-01,39,4333
1996-01-01,40,4194
1996-04-01,41,5253
